SRC	TRG	PINYIN_STR	PINYIN_CHAR
easton	伊斯顿	yi si dun	y i s i d u n
hobert	霍伯特	huo bo te	h u o b o t e
lum	卢姆	lu mu	l u m u
kallie	凯莉	kai li	k a i l i
joyal	乔亚尔	qiao ya er	q i a o y a e r
lingay	林吉	lin ji	l i n j i
frisbee	弗里斯比	fu li si bi	f u l i s i b i
heffelfinger	赫弗尔芬格	he fu er fen ge	h e f u e r f e n g e
geoff	杰夫	jie fu	j i e f u
rambaut	兰博	lan bo	l a n b o
kettleson	凯特尔森	kai te er sen	k a i t e e r s e n
gebhard	格布哈特	ge bu ha te	g e b u h a t e
dimick	迪米克	di mi ke	d i m i k e
mereweather	梅里韦瑟	mei li wei se	m e i l i w e i s e
nunez	努涅斯	nu nie si	n u n i e s i
pineda	皮内达	pi nei da	p i n e i d a
casseres	卡塞雷斯	ka sai lei si	k a s a i l e i s i
diversey	戴弗西	dai fu xi	d a i f u x i
raspberry	拉斯伯里	la si bo li	l a s i b o l i
klud	克卢德	ke lu de	k e l u d e
easlick	伊斯利克	yi si li ke	y i s i l i k e
osterberg	奥斯特伯格	ao si te bo ge	a o s i t e b o g e
mcreynolds	麦克雷诺兹	mai ke lei nuo zi	m a i k e l e i n u o z i
labberton	拉伯顿	la bo dun	l a b o d u n
garmon	加尔蒙	jia er meng	j i a e r m e n g
kodak	柯达	ke da	k e d a
borysewicz	博里塞维奇	bo li sai wei qi	b o l i s a i w e i q i
moosa	穆萨	mu sa	m u s a
fairlamb	费尔兰	fei er lan	f e i e r l a n
armstrong	阿姆斯特朗	a mu si te lang	a m u s i t e l a n g
tweddel	特威德尔	te wei de er	t e w e i d e e r
douglass	道格拉斯	dao ge la si	d a o g e l a s i
bodansky	博丹斯基	bo dan si ji	b o d a n s i j i
ripman	里普曼	li pu man	l i p u m a n
puppa	普帕	pu pa	p u p a
bunn	邦恩	bang en	b a n g e n
keila	凯拉	kai la	k a i l a
calcagni	卡尔卡尼	ka er ka ni	k a e r k a n i
piret	皮雷	pi lei	p i l e i
hamond	哈蒙德	ha meng de	h a m e n g d e
foti	福蒂	fu di	f u d i
bendixen	本迪克森	ben di ke sen	b e n d i k e s e n
beghin	贝金	bei jin	b e i j i n
nisbett	尼斯比特	ni si bi te	n i s i b i t e
adney	埃德尼	ai de ni	a i d e n i
gaugler	高格勒	gao ge le	g a o g e l e
tyzzer	泰泽	tai ze	t a i z e
graves	格雷夫斯	ge lei fu si	g e l e i f u s i
mcdonough	麦克多诺	mai ke duo nuo	m a i k e d u o n u o
musto	马斯托	ma si tuo	m a s i t u o
tinbergen	廷伯根	ting bo gen	t i n g b o g e n
avity	阿维蒂	a wei di	a w e i d i
dowsett	多塞特	duo sai te	d u o s a i t e
adlmann	阿德尔曼	a de er man	a d e e r m a n
hazur	哈祖尔	ha zu er	h a z u e r
torczyner	托齐纳	tuo qi na	t u o q i n a
copperweld	科珀韦尔德	ke po wei er de	k e p o w e i e r d e
barras	巴拉斯	ba la si	b a l a s i
copson	科普森	ke pu sen	k e p u s e n
switkay	斯威凯	si wei kai	s i w e i k a i
wyer	怀尔	huai er	h u a i e r
troen	特伦	te lun	t e l u n
mckearn	麦基尔恩	mai ji er en	m a i j i e r e n
quillin	奎林	kui lin	k u i l i n
lucie	露西	lu xi	l u x i
geaussent	若桑	ruo sang	r u o s a n g
maroun	马龙	ma long	m a l o n g
sayntes	塞恩茨	sai en ci	s a i e n c i
sneyd	斯尼德	si ni de	s i n i d e
mcelmurry	麦克尔默里	mai ke er mo li	m a i k e e r m o l i
mashburn	马什伯恩	ma shi bo en	m a s h i b o e n
symons	西蒙斯	xi meng si	x i m e n g s i
freney	弗雷尼	fu lei ni	f u l e i n i
chelmick	切尔米克	qie er mi ke	q i e e r m i k e
burlingame	伯林盖姆	bo lin gai mu	b o l i n g a i m u
gustlin	古斯特林	gu si te lin	g u s i t e l i n
keens	金斯	jin si	j i n s i
karlik	卡利克	ka li ke	k a l i k e
marsee	马西	ma xi	m a x i
crockwell	克罗克韦尔	ke luo ke wei er	k e l u o k e w e i e r
sinstadt	辛斯塔特	xin si ta te	x i n s i t a t e
brynes	布赖恩斯	bu lai en si	b u l a i e n s i
coningsby	科宁斯比	ke ning si bi	k e n i n g s i b i
plimpton	普林顿	pu lin dun	p u l i n d u n
lisa	莉萨	li sa	l i s a
willmott	威尔莫特	wei er mo te	w e i e r m o t e
dougherty	多尔蒂	duo er di	d u o e r d i
tyquan	泰坎	tai kan	t a i k a n
tardy	塔迪	ta di	t a d i
mathiasen	马赛厄森	ma sai e sen	m a s a i e s e n
ansley	安斯利	an si li	a n s i l i
dilauro	迪劳罗	di lao luo	d i l a o l u o
blaise	布莱斯	bu lai si	b u l a i s i
killy	基利	ji li	j i l i
janisch	杰尼施	jie ni shi	j i e n i s h i
faigle	费格尔	fei ge er	f e i g e e r
casals	卡萨尔斯	ka sa er si	k a s a e r s i
ailmar	艾尔默	ai er mo	a i e r m o
parmalee	帕马利	pa ma li	p a m a l i
wickman	威克曼	wei ke man	w e i k e m a n
whitmire	惠特迈尔	hui te mai er	h u i t e m a i e r
zimet	齐梅特	qi mei te	q i m e i t e
crawfurd	克劳弗德	ke lao fu de	k e l a o f u d e
cromer	克罗默	ke luo mo	k e l u o m o
gidwitz	吉德维茨	ji de wei ci	j i d e w e i c i
gerol	盖罗尔	gai luo er	g a i l u o e r
jedediah	杰迪代亚	jie di dai ya	j i e d i d a i y a
dugmore	达格莫尔	da ge mo er	d a g e m o e r
holt	霍尔特	huo er te	h u o e r t e
huguet	休格特	xiu ge te	x i u g e t e
stayner	斯泰纳	si tai na	s i t a i n a
chaloner	查洛纳	cha luo na	c h a l u o n a
weatherred	韦瑟雷德	wei se lei de	w e i s e l e i d e
shullenberger	舒伦伯格	shu lun bo ge	s h u l u n b o g e
forsythe	福赛思	fu sai si	f u s a i s i
auchmuty	奥克缪蒂	ao ke mou di	a o k e m o u d i
lindeman	林德曼	lin de man	l i n d e m a n
roney	罗尼	luo ni	l u o n i
jergens	杰根斯	jie gen si	j i e g e n s i
dirksen	德克森	de ke sen	d e k e s e n
prisk	普里斯克	pu li si ke	p u l i s i k e
trewhitt	特里惠特	te li hui te	t e l i h u i t e
beaston	比斯顿	bi si dun	b i s i d u n
grunow	格鲁诺	ge lu nuo	g e l u n u o
shurcliff	舒克利夫	shu ke li fu	s h u k e l i f u
ulises	尤利西斯	you li xi si	y o u l i x i s i
meriwether	梅里韦瑟	mei li wei se	m e i l i w e i s e
johannsen	约翰森	yue han sen	y u e h a n s e n
hubbs	哈布斯	ha bu si	h a b u s i
moscov	莫斯科夫	mo si ke fu	m o s i k e f u
alarcon	阿拉孔	a la kong	a l a k o n g
koelsch	凯尔奇	kai er qi	k a i e r q i
golder	戈尔德	ge er de	g e e r d e
breward	布鲁沃德	bu lu wo de	b u l u w o d e
moelwyn	莫尔温	mo er wen	m o e r w e n
scofield	斯科菲尔德	si ke fei er de	s i k e f e i e r d e
abthorpe	阿布索普	a bu suo pu	a b u s u o p u
tampell	坦佩尔	tan pei er	t a n p e i e r
faneuil	法纳尔	fa na er	f a n a e r
youngs	扬斯	yang si	y a n g s i
abboud	阿布德	a bu de	a b u d e
ric	里克	li ke	l i k e
mouncer	芒瑟	mang se	m a n g s e
marlin	马林	ma lin	m a l i n
kaylee	凯莉	kai li	k a i l i
derlyn	德林	de lin	d e l i n
bradlaw	布拉德洛	bu la de luo	b u l a d e l u o
wornom	沃诺姆	wo nuo mu	w o n u o m u
deachman	迪奇曼	di qi man	d i q i m a n
dumont	杜蒙	du meng	d u m e n g
glindeman	格林德曼	ge lin de man	g e l i n d e m a n
lipscomb	利普斯科姆	li pu si ke mu	l i p u s i k e m u
makill	马基尔	ma ji er	m a j i e r
peppler	佩普勒	pei pu le	p e i p u l e
middleton	米德尔顿	mi de er dun	m i d e e r d u n
hellers	赫勒斯	he le si	h e l e s i
pirsko	皮尔斯科	pi er si ke	p i e r s i k e
mckone	麦科恩	mai ke en	m a i k e e n
etherridge	埃瑟里奇	ai se li qi	a i s e l i q i
daeley	戴利	dai li	d a i l i
dolgin	多尔金	duo er jin	d u o e r j i n
goltz	戈尔茨	ge er ci	g e e r c i
jeana	珍娜	zhen na	z h e n n a
haws	霍斯	huo si	h u o s i
donato	多纳托	duo na tuo	d u o n a t u o
hardyman	哈迪曼	ha di man	h a d i m a n
littell	利特尔	li te er	l i t e e r
odalis	奥达莉斯	ao da li si	a o d a l i s i
dodsley	多兹利	duo zi li	d u o z i l i
auger	奥格	ao ge	a o g e
bonjour	邦茹	bang ru	b a n g r u
belmore	贝尔莫尔	bei er mo er	b e i e r m o e r
caitlynn	凯特琳	kai te lin	k a i t e l i n
thivierge	西维尔奇	xi wei er qi	x i w e i e r q i
dakyns	戴金斯	dai jin si	d a i j i n s i
modzeleski	莫泽莱斯基	mo ze lai si ji	m o z e l a i s i j i
prestopino	普雷斯托皮诺	pu lei si tuo pi nuo	p u l e i s i t u o p i n u o
helfenstein	赫尔芬斯坦	he er fen si tan	h e e r f e n s i t a n
crawley	克劳利	ke lao li	k e l a o l i
gleadowe	格莱多	ge lai duo	g e l a i d u o
hettleman	赫特尔曼	he te er man	h e t e e r m a n
trexler	特雷克斯勒	te le ke si le	t e l e k e s i l e
jemmy	杰米	jie mi	j i e m i
nears	尼尔斯	ni er si	n i e r s i
evangelista	埃万杰利斯塔	ai wan jie li si ta	a i w a n j i e l i s i t a
bershad	伯沙德	bo sha de	b o s h a d e
boldero	博尔德罗	bo er de luo	b o e r d e l u o
moxon	莫克森	mo ke sen	m o k e s e n
bishton	比什顿	bi shi dun	b i s h i d u n
bristow	布里斯托	bu li si tuo	b u l i s i t u o
buttrick	巴特里克	ba te li ke	b a t e l i k e
cowgiel	考吉尔	kao ji er	k a o j i e r
meldrum	梅尔德伦	mei er de lun	m e i e r d e l u n
caudry	考德里	kao de li	k a o d e l i
thernstrom	特恩斯特伦	te en si te lun	t e e n s i t e l u n
dengate	登盖特	deng gai te	d e n g g a i t e
woodd	伍德	wu de	w u d e
gersh	格什	ge shi	g e s h i
belote	贝洛特	bei luo te	b e i l u o t e
schomburgk	尚伯克	shang bo ke	s h a n g b o k e
procktor	普罗克特	pu luo ke te	p u l u o k e t e
betterton	贝特顿	bei te dun	b e i t e d u n
friedlich	弗里德利克	fu li de li ke	f u l i d e l i k e
gumaer	古梅尔	gu mei er	g u m e i e r
fensterstock	芬斯特斯托克	fen si te si tuo ke	f e n s i t e s i t u o k e
aylwen	艾尔温	ai er wen	a i e r w e n
gamaliel	加梅利尔	jia mei li er	j i a m e i l i e r
morganstern	摩根斯特恩	mo gen si te en	m o g e n s i t e e n
palmer	帕尔默	pa er mo	p a e r m o
mcnamee	麦克纳米	mai ke na mi	m a i k e n a m i
yontz	扬茨	yang ci	y a n g c i
mallett	马利特	ma li te	m a l i t e
fogarty	福格蒂	fu ge di	f u g e d i
dunham	邓纳姆	deng na mu	d e n g n a m u
barnard	巴纳德	ba na de	b a n a d e
reubens	鲁本斯	lu ben si	l u b e n s i
scholefield	斯科菲尔德	si ke fei er de	s i k e f e i e r d e
hadlock	哈德洛克	ha de luo ke	h a d e l u o k e
pagett	佩吉特	pei ji te	p e i j i t e
merletti	梅莱蒂	mei lai di	m e i l a i d i
staniforth	斯塔尼福思	si ta ni fu si	s i t a n i f u s i
mayle	梅尔	mei er	m e i e r
tremante	特里曼特	te li man te	t e l i m a n t e
rhulman	鲁尔曼	lu er man	l u e r m a n
hover	霍弗	huo fu	h u o f u
kerrich	克里奇	ke li qi	k e l i q i
beagle	比格尔	bi ge er	b i g e e r
killwick	斯尔威克	si er wei ke	s i e r w e i k e
beachcomber	比奇科默	bi qi ke mo	b i q i k e m o
lafevor	拉费弗	la fei fu	l a f e i f u
lusk	勒斯克	le si ke	l e s i k e
cawse	考斯	kao si	k a o s i
beeners	比纳斯	bi na si	b i n a s i
meyjes	梅斯	mei si	m e i s i
varina	瓦里纳	wa li na	w a l i n a
liebenberg	利本伯格	li ben bo ge	l i b e n b o g e
essery	埃塞里	ai sai li	a i s a i l i
stefansson	斯蒂芬森	si di fen sen	s i d i f e n s e n
roodman	鲁德曼	lu de man	l u d e m a n
railey	雷利	lei li	l e i l i
thurlbeck	瑟贝克	se bei ke	s e b e i k e
griselda	格丽塞尔达	ge li sai er da	g e l i s a i e r d a
dundon	邓登	deng deng	d e n g d e n g
berkemeyer	伯克迈耶	bo ke mai ye	b o k e m a i y e
rambert	兰伯特	lan bo te	l a n b o t e
cronmiller	克朗米勒	ke lang mi le	k e l a n g m i l e
gribble	格里布尔	ge li bu er	g e l i b u e r
makayla	玛凯拉	ma kai la	m a k a i l a
settle	塞特尔	sai te er	s a i t e e r
bonomi	博诺米	bo nuo mi	b o n u o m i
maclintock	麦克林托克	mai ke lin tuo ke	m a i k e l i n t u o k e
lutes	卢茨	lu ci	l u c i
arnove	阿诺夫	a nuo fu	a n u o f u
fanshaw	范肖	fan xiao	f a n x i a o
sligh	斯莱	si lai	s i l a i
erhart	埃哈特	ai ha te	a i h a t e
hewling	休林	xiu lin	x i u l i n
showers	肖沃斯	xiao wo si	x i a o w o s i
land	兰德	lan de	l a n d e
countryman	康特里曼	kang te li man	k a n g t e l i m a n
stymiest	斯蒂米斯特	si di mi si te	s i d i m i s i t e
goodrick	古德里克	gu de li ke	g u d e l i k e
houchin	霍钦	huo qin	h u o q i n
calderwood	考尔德伍德	kao er de wu de	k a o e r d e w u d e
chilworth	奇尔沃思	qi er wo si	q i e r w o s i
bourdon	鲍登	bao deng	b a o d e n g
mayoras	马约拉斯	ma yue la si	m a y u e l a s i
berhard	伯哈德	bo ha de	b o h a d e
muccini	穆奇尼	mu qi ni	m u q i n i
odaniel	奥丹尼尔	ao dan ni er	a o d a n n i e r
sweers	斯威尔斯	si wei er si	s i w e i e r s i
dethomasis	德托马西斯	de tuo ma xi si	d e t u o m a x i s i
kolton	科尔顿	ke er dun	k e e r d u n
dieguez	迭格斯	die ge si	d i e g e s i
bunkie	邦基	bang ji	b a n g j i
cote	科特	ke te	k e t e
rockingham	罗金厄姆	luo jin e mu	l u o j i n e m u
norbury	诺伯里	nuo bo li	n u o b o l i
bendick	本迪克	ben di ke	b e n d i k e
larking	拉金	la jin	l a j i n
draus	德劳斯	de lao si	d e l a o s i
sellinger	塞林杰	sai lin jie	s a i l i n j i e
baryshnikov	巴雷什尼科夫	ba lei shi ni ke fu	b a l e i s h i n i k e f u
berthold	伯特霍尔德	bo te huo er de	b o t e h u o e r d e
hummell	赫梅尔	he mei er	h e m e i e r
kieb	基布	ji bu	j i b u
hohman	霍曼	huo man	h u o m a n
oakes	奥克斯	ao ke si	a o k e s i
anka	安卡	an ka	a n k a
beaufait	博费特	bo fei te	b o f e i t e
shroeder	施罗德	shi luo de	s h i l u o d e
faulks	福克斯	fu ke si	f u k e s i
mccune	麦丘恩	mai qiu en	m a i q i u e n
eisen	艾森	ai sen	a i s e n
profitt	普罗菲特	pu luo fei te	p u l u o f e i t e
barach	贝拉克	bei la ke	b e i l a k e
bedke	贝德克	bei de ke	b e i d e k e
goodding	古丁	gu ding	g u d i n g
bigart	比加特	bi jia te	b i j i a t e
turnipseed	特尼普西德	te ni pu xi de	t e n i p u x i d e
gaull	高尔	gao er	g a o e r
grabill	格拉比尔	ge la bi er	g e l a b i e r
dolbear	多比尔	duo bi er	d u o b i e r
gaudiani	高迪亚尼	gao di ya ni	g a o d i y a n i
quirk	夸克	kua ke	k u a k e
wiltshire	威尔特希尔	wei er te xi er	w e i e r t e x i e r
mccallion	麦卡利恩	mai ka li en	m a i k a l i e n
prinsep	普林塞普	pu lin sai pu	p u l i n s a i p u
gunkler	冈克勒	gang ke le	g a n g k e l e
helfand	赫尔方	he er fang	h e e r f a n g
trussel	特拉塞尔	te la sai er	t e l a s a i e r
verhovek	弗霍韦克	fu huo wei ke	f u h u o w e i k e
smale	斯梅尔	si mei er	s i m e i e r
typler	泰普勒	tai pu le	t a i p u l e
bechhofer	贝克霍弗	bei ke huo fu	b e i k e h u o f u
bernholz	伯恩霍尔兹	bo en huo er zi	b o e n h u o e r z i
kahanamoku	卡哈纳莫库	ka ha na mo ku	k a h a n a m o k u
constantinople	康斯坦丁诺普尔	kang si tan ding nuo pu er	k a n g s i t a n d i n g n u o p u e r
enoff	伊诺夫	yi nuo fu	y i n u o f u
higby	希格比	xi ge bi	x i g e b i
anchoretta	安科蕾塔	an ke lei ta	a n k e l e i t a
elston	埃尔斯顿	ai er si dun	a i e r s i d u n
wilimovsky	维利莫夫斯基	wei li mo fu si ji	w e i l i m o f u s i j i
nibbidard	尼比达德	ni bi da de	n i b i d a d e
guardo	瓜尔多	gua er duo	g u a e r d u o
camus	卡默斯	ka mo si	k a m o s i
stallard	斯托拉德	si tuo la de	s i t u o l a d e
suzan	苏珊	su shan	s u s h a n
laue	劳厄	lao e	l a o e
keyho	基奥	ji ao	j i a o
paulet	保莉特	bao li te	b a o l i t e
weisbecker	韦斯贝克	wei si bei ke	w e i s i b e i k e
laubengayer	劳本盖耶	lao ben gai ye	l a o b e n g a i y e
mullaney	马拉尼	ma la ni	m a l a n i
lenz	伦兹	lun zi	l u n z i
ruby	鲁比	lu bi	l u b i
rollason	罗拉森	luo la sen	l u o l a s e n
pritchett	普里切特	pu li qie te	p u l i q i e t e
houten	霍滕	huo teng	h u o t e n g
wvendth	文特思	wen te si	w e n t e s i
beddome	贝多姆	bei duo mu	b e i d u o m u
choat	乔特	qiao te	q i a o t e
caley	卡利	ka li	k a l i
devereux	德弗罗	de fu luo	d e f u l u o
geri	格里	ge li	g e l i
gerly	杰利	jie li	j i e l i
reinisch	赖尼希	lai ni xi	l a i n i x i
genel	吉尼尔	ji ni er	j i n i e r
gamage	加米奇	jia mi qi	j i a m i q i
keith	基思	ji si	j i s i
sclater	斯克莱特	si ke lai te	s i k e l a i t e
dickins	迪金斯	di jin si	d i j i n s i
caminata	卡米纳塔	ka mi na ta	k a m i n a t a
ganel	加内尔	jia nei er	j i a n e i e r
edelsack	埃德尔萨克	ai de er sa ke	a i d e e r s a k e
puls	普尔斯	pu er si	p u e r s i
bodley	博德利	bo de li	b o d e l i
bigland	比格兰	bi ge lan	b i g e l a n
cumberlege	坎伯利奇	kan bo li qi	k a n b o l i q i
quainton	昆顿	kun dun	k u n d u n
anstey	安斯蒂	an si di	a n s i d i
hatter	哈特	ha te	h a t e
diffrient	迪夫里恩特	di fu li en te	d i f u l i e n t e
olslager	奥尔斯莱格	ao er si lai ge	a o e r s i l a i g e
mcnicol	麦克尼科尔	mai ke ni ke er	m a i k e n i k e e r
fischbach	菲施巴赫	fei shi ba he	f e i s h i b a h e
sohler	索莱尔	suo lai er	s u o l a i e r
corisande	科丽桑德	ke li sang de	k e l i s a n g d e
gehman	格曼	ge man	g e m a n
cristobal	克里斯托巴尔	ke li si tuo ba er	k e l i s i t u o b a e r
ougham	奥厄姆	ao e mu	a o e m u
drinnon	德林农	de lin nong	d e l i n n o n g
mahler	马勒	ma le	m a l e
ayscough	艾斯库	ai si ku	a i s i k u
tench	坦奇	tan qi	t a n q i
mally	玛莉	ma li	m a l i
massaro	马萨罗	ma sa luo	m a s a l u o
mischer	米舍	mi she	m i s h e
zogbaum	佐格鲍姆	zuo ge bao mu	z u o g e b a o m u
mclelland	麦克利兰	mai ke li lan	m a i k e l i l a n
bowmont	鲍蒙特	bao meng te	b a o m e n g t e
kameron	卡梅伦	ka mei lun	k a m e i l u n
grenell	格雷内尔	ge lei nei er	g e l e i n e i e r
schwamberger	施万伯格	shi wan bo ge	s h i w a n b o g e
teape	蒂普	di pu	d i p u
crew	克鲁	ke lu	k e l u
leibel	利贝尔	li bei er	l i b e i e r
brennecke	布伦内克	bu lun nei ke	b u l u n n e i k e
canny	坎尼	kan ni	k a n n i
buhsmer	布斯默	bu si mo	b u s i m o
mccoubrey	麦库布里	mai ku bu li	m a i k u b u l i
arcari	阿尔卡里	a er ka li	a e r k a l i
streiby	斯特赖比	si te lai bi	s i t e l a i b i
bernadette	贝尔纳黛特	bei er na dai te	b e i e r n a d a i t e
covalesky	科瓦列斯基	ke wa lie si ji	k e w a l i e s i j i
emblemsvag	恩布勒姆斯沃格	en bu le mu si wo ge	e n b u l e m u s i w o g e
rymill	赖米尔	lai mi er	l a i m i e r
swanson	斯旺森	si wang sen	s i w a n g s e n
umscheid	乌姆沙伊德	wu mu sha yi de	w u m u s h a y i d e
sobotka	索博特卡	suo bo te ka	s u o b o t e k a
merlinger	默林杰	mo lin jie	m o l i n j i e
zervas	泽瓦斯	ze wa si	z e w a s i
tenney	坦尼	tan ni	t a n n i
druck	德鲁克	de lu ke	d e l u k e
corl	科尔	ke er	k e e r
bayly	贝利	bei li	b e i l i
mermagen	默梅根	mo mei gen	m o m e i g e n
beling	贝林	bei lin	b e i l i n
gorger	戈杰	ge jie	g e j i e
kruser	克鲁泽	ke lu ze	k e l u z e
noman	诺曼	nuo man	n u o m a n
venditti	文迪蒂	wen di di	w e n d i d i
magliato	马利亚托	ma li ya tuo	m a l i y a t u o
karpeles	卡珀利斯	ka po li si	k a p o l i s i
togo	托戈	tuo ge	t u o g e
yastrzemski	亚斯切姆斯基	ya si qie mu si ji	y a s i q i e m u s i j i
gascoigne	加斯科因	jia si ke yin	j i a s i k e y i n
paquette	帕克特	pa ke te	p a k e t e
brang	布朗	bu lang	b u l a n g
cowland	考兰	kao lan	k a o l a n
bardolphus	巴多尔弗斯	ba duo er fu si	b a d u o e r f u s i
hudspeth	赫兹佩思	he zi pei si	h e z i p e i s i
bourgogne	布戈尼	bu ge ni	b u g e n i
hole	霍尔	huo er	h u o e r
whitchcote	惠奇科特	hui qi ke te	h u i q i k e t e
wacker	瓦克尔	wa ke er	w a k e e r
keswick	凯瑟克	kai se ke	k a i s e k e
tract	特拉克特	te la ke te	t e l a k e t e
bentley	本特利	ben te li	b e n t e l i
galeener	加利纳	jia li na	j i a l i n a
mcneary	麦克尼亚里	mai ke ni ya li	m a i k e n i y a l i
galetti	加莱蒂	jia lai di	j i a l a i d i
reusser	罗伊瑟	luo yi se	l u o y i s e
bopp	博普	bo pu	b o p u
bathrick	巴思里克	ba si li ke	b a s i l i k e
shoulders	舒尔德斯	shu er de si	s h u e r d e s i
seith	塞思	sai si	s a i s i
stanway	斯坦韦	si tan wei	s i t a n w e i
camrose	卡姆罗斯	ka mu luo si	k a m u l u o s i
fenello	费内略	fei nei lve	f e i n e i l v e
medeiros	梅代罗斯	mei dai luo si	m e i d a i l u o s i
